,Date,Open,High,Low,Close,Signal,SMA,EMA,Total,BuyHold,Win/Lose
64,10/18/2010,6112.75,6115.100098,5985.100098,6075.950195,0,6084.98747555,6084.405512,11589969.552,22555264.8624,0.0
65,10/19/2010,6114.450195,6127.049805,6008.149902,6027.299805,0,6085.89997555,6077.26729862,11589969.552,21654016.3876,0.0
66,10/20/2010,6002.950195,6038.100098,5966.75,5982.100098,0,6085.45498045,6065.37139855,11589969.552,20816691.8154,0.0
67,10/21/2010,6008.899902,6113.5,5984.899902,6101.5,0,6092.5524902,6069.88747373,11589969.552,23028575.0,0.0
68,10/22/2010,6113.399902,6121.100098,6041.350098,6066.049805,0,6094.9399902,6069.40776514,11589969.552,22371860.1376,0.0
69,10/25/2010,6101.25,6151.299805,6094.600098,6105.799805,0,6098.44748535,6073.95677012,11589969.552,23108228.8876,0.0
70,10/26/2010,6116.299805,6120.25,6074.649902,6082.0,0,6101.07248535,6074.96217385,11589969.552,22667337.5,0.0
71,10/27/2010,6075.450195,6075.950195,5987.549805,6012.649902,1,6102.1399902,6067.17313987,11579778.1104,21382626.9346,0.0
72,10/28/2010,6039.950195,6071.100098,5968.100098,5987.700195,0,6100.0274902,6057.23902176,11368329.3436,20920433.6124,0.0
73,10/29/2010,6021.149902,6032.649902,5937.100098,6017.700195,0,6093.74250485,6052.29666842,11622579.3436,21476183.6124,0.0
74,11/1/2010,6092.299805,6132.399902,6084.75,6117.549805,0,6091.64748535,6060.45331049,12468804.7883,23325897.6376,0.0
75,11/2/2010,6127.549805,6138.100098,6094.399902,6119.0,0,6090.3074951,6067.77164668,12481095.191,23352762.5,0.0
76,11/3/2010,6150.600098,6182.5,6146.799805,6160.5,0,6089.00998535,6079.36269084,12832807.691,24121550.0,0.0
77,11/4/2010,6209.600098,6290.149902,6199.350098,6281.799805,-1,6097.08498535,6104.66733011,13850175.8877,26368628.8876,2281045.42792
78,11/8/2010,6335.25,6335.899902,6265.350098,6273.200195,0,6105.57248535,6125.73393822,13850175.8877,26209321.1124,0.0
79,11/9/2010,6281.0,6310.899902,6243.549805,6301.549805,0,6113.8574707,6147.71092157,13850175.8877,26734497.6376,0.0
80,11/10/2010,6303.200195,6307.649902,6269.25,6275.700195,0,6123.09748535,6163.70958075,13850175.8877,26255633.6124,0.0
81,11/11/2010,6286.350098,6296.549805,6179.5,6194.25,0,6121.11499025,6167.52713316,13850175.8877,24746768.75,0.0
82,11/12/2010,6182.299805,6202.5,6056.75,6071.649902,0,6115.82998045,6155.54247926,13850175.8877,22475601.9346,0.0
83,11/15/2010,6079.899902,6128.75,6039.399902,6121.600098,0,6118.77749025,6151.2996816,13850175.8877,23400929.3154,0.0
84,11/16/2010,6143.450195,6144.049805,5970.600098,5988.700195,0,6114.41499025,6130.97474578,13850175.8877,20938958.6124,0.0
85,11/18/2010,6075.950195,6076.200195,5906.75,5998.799805,0,6112.98999025,6114.45287818,13850175.8877,21126053.8876,0.0
86,11/19/2010,6011.299805,6013.25,5863.950195,5890.299805,0,6108.3999756,6086.43374403,13850175.8877,19116091.3876,0.0
87,11/22/2010,5920.899902,6020.25,5905.149902,6010.0,0,6103.8249756,6076.87952603,13850175.8877,21333537.5,0.0
88,11/23/2010,5971.549805,5973.350098,5824.950195,5934.75,0,6097.25998535,6059.11333528,13850175.8877,19939531.25,0.0
89,11/24/2010,5946.799805,5976.649902,5833.600098,5865.75,0,6085.2574951,6034.94291837,13850175.8877,18661306.25,0.0
90,11/25/2010,5883.950195,5907.100098,5780.350098,5799.75,0,6071.1449951,6005.54380357,13850175.8877,17438656.25,0.0
91,11/26/2010,5828.549805,5838.5,5690.350098,5751.950195,0,6058.11000975,5973.8446025,13850175.8877,16553164.8624,0.0
92,11/29/2010,5789.950195,5843.149902,5754.700195,5830.0,0,6050.225,5955.86402719,13850175.8877,17999037.5,0.0
93,11/30/2010,5811.600098,5892.25,5768.350098,5862.700195,0,6042.475,5944.21854816,13850175.8877,18604808.6124,0.0
94,12/1/2010,5871.0,5971.0,5865.549805,5960.899902,0,6034.64250485,5946.30371739,13850175.8877,20423958.1846,0.0
95,12/2/2010,6023.049805,6029.5,5980.600098,6011.700195,0,6029.2775146,5954.47827709,13850175.8877,21365033.6124,0.0
96,12/3/2010,6013.350098,6025.399902,5964.25,5992.799805,1,6020.89250485,5959.26846808,13839748.416,21014903.8876,0.0
97,12/6/2010,6033.649902,6069.450195,5981.700195,5992.25,0,6006.4150146,5963.39115957,13834965.1125,21004718.75,0.0
98,12/7/2010,5995.049805,6001.0,5939.700195,5976.549805,0,5991.5824951,5965.03599025,13698373.416,20713872.6376,0.0
99,12/8/2010,5954.399902,5960.0,5878.600098,5903.700195,0,5971.6900146,5957.36901584,13064581.809,19364333.6124,0.0
100,12/9/2010,5924.25,5927.299805,5742.299805,5766.5,0,5946.23000485,5933.51038886,11870940.1125,16822700.0,0.0
101,12/10/2010,5761.0,5865.5,5721.149902,5857.350098,0,5929.38500975,5923.99035251,12661335.9651,18505698.0654,0.0
102,12/13/2010,5882.649902,5913.799805,5795.899902,5907.649902,-1,5921.18500975,5921.94779619,13088664.9491,19437501.9346,-740804.1561
103,12/14/2010,5928.700195,5953.950195,5888.75,5944.100098,0,5912.31000975,5924.71683392,13088664.9491,20112741.8154,0.0
104,12/15/2010,5931.149902,5942.75,5865.799805,5892.299805,0,5907.48999025,5920.6647053,13088664.9491,19153141.3876,0.0
105,12/16/2010,5910.549805,5956.149902,5855.049805,5948.75,0,5904.9875,5924.17536714,13088664.9491,20198881.25,0.0
106,12/20/2010,5926.850098,5985.0,5900.25,5947.049805,0,5907.825,5927.03467187,13088664.9491,20167385.1376,0.0
107,12/21/2010,5960.399902,6007.450195,5960.049805,6000.649902,0,5907.3574951,5936.23657564,13088664.9491,21160326.9346,0.0
108,12/22/2010,6019.0,6023.799805,5958.0,5984.399902,0,5909.8399902,5942.25699143,13088664.9491,20859295.6846,0.0
109,12/23/2010,6005.899902,6006.450195,5964.600098,5980.0,0,5915.5524902,5946.9748675,13088664.9491,20777787.5,0.0
110,12/24/2010,5940.25,6017.350098,5940.25,6011.600098,0,5926.1449951,5955.05302132,13088664.9491,21363179.3154,0.0
111,12/27/2010,6013.299805,6045.75,5991.100098,5998.100098,0,5938.45249025,5960.4339059,13088664.9491,21113091.8154,0.0
112,12/28/2010,6005.350098,6010.899902,5982.25,5996.0,0,5946.75249025,5964.87966766,13088664.9491,21074187.5,0.0
113,12/29/2010,6005.149902,6067.549805,6002.850098,6060.350098,0,5956.6349854,5976.81347146,13088664.9491,22266273.0654,0.0
114,12/30/2010,6062.350098,6106.399902,6062.350098,6101.850098,0,5963.6824952,5992.44304977,13088664.9491,23035060.5654,0.0
115,12/31/2010,6105.100098,6147.299805,6103.549805,6134.5,0,5969.82248545,6010.20016855,13088664.9491,23639900.0,0.0
116,1/3/2011,6177.450195,6178.549805,6147.200195,6157.600098,0,5978.0625001,6028.62515973,13088664.9491,24067829.3154,0.0
117,1/4/2011,6172.75,6181.049805,6124.399902,6146.350098,0,5985.767505,6043.34077702,13088664.9491,23859423.0654,0.0
118,1/5/2011,6141.350098,6141.350098,6062.350098,6079.799805,0,5990.930005,6047.89815551,13088664.9491,22626578.8876,0.0
119,1/6/2011,6107.0,6116.149902,6022.299805,6048.25,0,5998.15749525,6047.94213608,13088664.9491,22042118.75,0.0
120,1/7/2011,6030.899902,6051.200195,5883.600098,5904.600098,0,6005.06250015,6030.02438132,13088664.9491,19381004.3154,0.0
121,1/10/2011,5901.299805,5907.25,5740.950195,5762.850098,0,6000.33750015,5996.6275959,13088664.9491,16755085.5654,0.0
122,1/11/2011,5767.950195,5842.600098,5698.200195,5754.100098,0,5992.66000995,5966.31165866,13088664.9491,16592991.8154,0.0
123,1/12/2011,5800.049805,5874.200195,5711.299805,5863.25,0,5988.61750505,5953.42895133,13088664.9491,18614993.75,0.0
124,1/13/2011,5850.75,5857.75,5736.700195,5751.899902,0,5981.5975099,5928.23782016,13088664.9491,16552233.1846,0.0
