Date,Open,High,Low,Close
10/1/2017,"4,341.05","4,403.74","4,269.81","4,403.74"
10/2/2017,"4,395.81","4,470.23","4,377.46","4,409.32"
10/3/2017,"4,408.46","4,432.47","4,258.89","4,317.48"
10/4/2017,"4,319.37","4,352.31","4,210.42","4,229.36"
10/5/2017,"4,229.88","4,362.64","4,164.05","4,328.41"
10/6/2017,"4,324.46","4,413.27","4,320.53","4,370.81"
10/7/2017,"4,369.35","4,443.88","4,321.05","4,426.89"
10/8/2017,"4,429.67","4,624.14","4,405.64","4,610.48"
10/9/2017,"4,614.52","4,878.71","4,564.25","4,772.02"
10/10/2017,"4,776.21","4,922.17","4,765.10","4,781.99"
10/11/2017,"4,789.25","4,873.73","4,751.63","4,826.48"
10/12/2017,"4,829.58","5,446.91","4,822.00","5,446.91"
10/13/2017,"5,464.16","5,840.30","5,436.85","5,647.21"
10/14/2017,"5,643.53","5,837.70","5,591.64","5,831.79"
10/15/2017,"5,835.96","5,852.48","5,478.61","5,678.19"
10/16/2017,"5,687.57","5,776.23","5,544.21","5,725.59"
10/17/2017,"5,741.58","5,800.35","5,472.72","5,605.51"
10/18/2017,"5,603.82","5,603.82","5,151.44","5,590.69"
10/19/2017,"5,583.74","5,744.35","5,531.06","5,708.52"
10/20/2017,"5,708.11","6,060.11","5,627.23","6,011.45"
10/21/2017,"5,996.79","6,194.88","5,965.07","6,031.60"
10/22/2017,"6,036.66","6,076.26","5,792.34","6,008.42"
10/23/2017,"6,006.00","6,075.59","5,732.47","5,930.32"
10/24/2017,"5,935.52","5,935.52","5,504.18","5,526.64"
10/25/2017,"5,524.60","5,754.33","5,397.88","5,750.80"
10/26/2017,"5,747.95","5,976.80","5,721.22","5,904.83"
10/27/2017,"5,899.74","5,988.39","5,728.82","5,780.90"
10/28/2017,"5,787.82","5,876.72","5,689.19","5,753.09"
10/29/2017,"5,754.44","6,255.71","5,724.58","6,153.85"
10/30/2017,"6,114.85","6,214.99","6,040.85","6,130.53"
10/31/2017,"6,132.02","6,470.43","6,103.33","6,468.40"
11/1/2017,"6,440.97","6,767.31","6,377.88","6,767.31"
11/2/2017,"6,777.77","7,367.33","6,758.72","7,078.50"
11/3/2017,"7,087.53","7,461.29","7,002.94","7,207.76"
11/4/2017,"7,164.48","7,492.86","7,031.28","7,379.95"
11/5/2017,"7,404.52","7,617.48","7,333.19","7,407.41"
11/6/2017,"7,403.22","7,445.77","7,007.31","7,022.76"
11/7/2017,"7,023.10","7,253.32","7,023.10","7,144.38"
11/8/2017,"7,141.38","7,776.42","7,114.02","7,459.69"
11/9/2017,"7,446.83","7,446.83","7,101.52","7,143.58"
11/10/2017,"7,173.73","7,312.00","6,436.87","6,618.14"
11/11/2017,"6,618.61","6,873.15","6,204.22","6,357.60"
11/12/2017,"6,295.45","6,625.05","5,519.01","5,950.07"
11/13/2017,"5,938.25","6,811.19","5,844.29","6,559.49"
11/14/2017,"6,561.48","6,764.98","6,461.75","6,635.75"
11/15/2017,"6,634.76","7,342.25","6,634.76","7,315.54"
11/16/2017,"7,323.24","7,967.38","7,176.58","7,871.69"
11/17/2017,"7,853.57","8,004.59","7,561.09","7,708.99"
11/18/2017,"7,697.21","7,884.99","7,463.44","7,790.15"
11/19/2017,"7,766.03","8,101.91","7,694.10","8,036.49"
11/20/2017,"8,039.07","8,336.86","7,949.36","8,200.64"
11/21/2017,"8,205.74","8,348.66","7,762.71","8,071.26"
11/22/2017,"8,077.95","8,302.26","8,075.47","8,253.55"
11/23/2017,"8,232.38","8,267.40","8,038.77","8,038.77"
11/24/2017,"8,074.02","8,374.16","7,940.93","8,253.69"
11/25/2017,"8,241.71","8,790.92","8,191.15","8,790.92"
11/26/2017,"8,789.04","9,522.93","8,775.59","9,330.55"
11/27/2017,"9,352.72","9,818.35","9,352.72","9,818.35"
11/28/2017,"9,823.43","10,125.70","9,736.30","10,058.80"
11/29/2017,"10,077.40","11,517.40","9,601.03","9,888.61"
11/30/2017,"9,906.79","10,801.00","9,202.05","10,233.60"
12/1/2017,"10,198.60","11,046.70","9,694.65","10,975.60"
12/2/2017,"10,978.30","11,320.20","10,905.10","11,074.60"
12/3/2017,"11,082.70","11,858.70","10,862.00","11,323.20"
12/4/2017,"11,315.40","11,657.20","11,081.80","11,657.20"
12/5/2017,"11,685.70","12,032.00","11,604.60","11,916.70"
12/6/2017,"11,923.40","14,369.10","11,923.40","14,291.50"
12/7/2017,"14,266.10","17,899.70","14,057.30","17,899.70"
12/8/2017,"17,802.90","18,353.40","14,336.90","16,569.40"
12/9/2017,"16,523.30","16,783.00","13,674.90","15,178.20"
12/10/2017,"15,168.40","15,850.60","13,226.60","15,455.40"
12/11/2017,"15,427.40","17,513.90","15,404.80","16,936.80"
12/12/2017,"16,919.80","17,781.80","16,571.60","17,415.40"
12/13/2017,"17,500.00","17,653.10","16,039.70","16,408.20"
12/14/2017,"16,384.60","17,085.80","16,185.90","16,564.00"
12/15/2017,"16,601.30","18,154.10","16,601.30","17,706.90"
12/16/2017,"17,760.30","19,716.70","17,515.30","19,497.40"
12/17/2017,"19,475.80","20,089.00","18,974.10","19,140.80"
12/18/2017,"19,106.40","19,371.00","18,355.90","19,114.20"
12/19/2017,"19,118.30","19,177.80","17,275.40","17,776.70"
12/20/2017,"17,760.30","17,934.70","16,077.70","16,624.60"
12/21/2017,"16,642.40","17,567.70","15,342.70","15,802.90"
12/22/2017,"15,898.00","15,943.40","11,833.00","13,831.80"
12/23/2017,"13,948.70","15,603.20","13,828.80","14,699.20"
12/24/2017,"14,608.20","14,626.00","12,747.70","13,925.80"
12/25/2017,"13,995.90","14,593.00","13,448.90","14,026.60"
12/26/2017,"14,036.60","16,461.20","14,028.90","16,099.80"
12/27/2017,"16,163.50","16,930.90","15,114.30","15,838.50"
12/28/2017,"15,864.10","15,888.40","13,937.30","14,606.50"
12/29/2017,"14,695.80","15,279.00","14,307.00","14,656.20"
12/30/2017,"14,681.90","14,681.90","12,350.10","12,952.20"
12/31/2017,"12,897.70","14,377.40","12,755.60","14,156.40"
1/1/2018,"14,112.20","14,112.20","13,154.70","13,657.20"
1/2/2018,"13,625.00","15,444.60","13,163.60","14,982.10"
1/3/2018,"14,978.20","15,572.80","14,844.50","15,201.00"
1/4/2018,"15,270.70","15,739.70","14,522.20","15,599.20"
1/5/2018,"15,477.20","17,705.20","15,202.80","17,429.50"
1/6/2018,"17,462.10","17,712.40","16,764.60","17,527.00"
1/7/2018,"17,527.30","17,579.60","16,087.70","16,477.60"
1/8/2018,"16,476.20","16,537.90","14,208.20","15,170.10"
1/9/2018,"15,123.70","15,497.50","14,424.00","14,595.40"
1/10/2018,"14,588.50","14,973.30","13,691.20","14,973.30"
1/11/2018,"14,968.20","15,018.80","13,105.90","13,405.80"
1/12/2018,"13,453.90","14,229.90","13,158.10","13,980.60"
1/13/2018,"13,952.40","14,659.50","13,952.40","14,360.20"
1/14/2018,"14,370.80","14,511.80","13,268.00","13,772.00"
1/15/2018,"13,767.30","14,445.50","13,641.70","13,819.80"
1/16/2018,"13,836.10","13,843.10","10,194.90","11,490.50"
1/17/2018,"11,431.10","11,678.00","9,402.29","11,188.60"
1/18/2018,"11,198.80","12,107.30","10,942.50","11,474.90"
1/19/2018,"11,429.80","11,992.80","11,172.10","11,607.40"
1/20/2018,"11,656.20","13,103.00","11,656.20","12,899.20"
1/21/2018,"12,889.20","12,895.90","11,288.20","11,600.10"
1/22/2018,"11,633.10","11,966.40","10,240.20","10,931.40"
1/23/2018,"10,944.50","11,377.60","10,129.70","10,868.40"
1/24/2018,"10,903.40","11,501.40","10,639.80","11,359.40"
1/25/2018,"11,421.70","11,785.70","11,057.40","11,259.40"
1/26/2018,"11,256.00","11,656.70","10,470.30","11,171.40"
1/27/2018,"11,174.90","11,614.90","10,989.20","11,440.70"
1/28/2018,"11,475.30","12,040.30","11,475.30","11,786.30"
1/29/2018,"11,755.50","11,875.60","11,179.20","11,296.40"
1/30/2018,"11,306.80","11,307.20","10,036.20","10,106.30"
1/31/2018,"10,108.20","10,381.60","9,777.42","10,221.10"
2/1/2018,"10,237.30","10,288.80","8,812.28","9,170.54"
2/2/2018,"9,142.28","9,142.28","7,796.49","8,830.75"
2/3/2018,"8,852.12","9,430.75","8,251.63","9,174.91"
2/4/2018,"9,175.70","9,334.87","8,031.22","8,277.01"
2/5/2018,"8,270.54","8,364.84","6,756.68","6,955.27"
2/6/2018,"7,051.75","7,850.70","6,048.26","7,754.00"
2/7/2018,"7,755.49","8,509.11","7,236.79","7,621.30"
2/8/2018,"7,637.86","8,558.77","7,637.86","8,265.59"
2/9/2018,"8,271.84","8,736.98","7,884.71","8,736.98"
2/10/2018,"8,720.08","9,122.55","8,295.47","8,621.90"
2/11/2018,"8,616.13","8,616.13","7,931.10","8,129.97"
2/12/2018,"8,141.43","8,985.92","8,141.43","8,926.57"
2/13/2018,"8,926.72","8,958.47","8,455.41","8,598.31"
2/14/2018,"8,599.92","9,518.54","8,599.92","9,494.63"
2/15/2018,"9,488.32","10,234.80","9,395.58","10,166.40"
2/16/2018,"10,135.70","10,324.10","9,824.82","10,233.90"
2/17/2018,"10,207.50","11,139.50","10,149.40","11,112.70"
2/18/2018,"11,123.40","11,349.80","10,326.00","10,551.80"
2/19/2018,"10,552.60","11,273.80","10,513.20","11,225.30"
2/20/2018,"11,231.80","11,958.50","11,231.80","11,403.70"
2/21/2018,"11,372.20","11,418.50","10,479.10","10,690.40"
2/22/2018,"10,660.40","11,039.10","9,939.09","10,005.00"
2/23/2018,"9,937.07","10,487.30","9,734.56","10,301.10"
2/24/2018,"10,287.70","10,597.20","9,546.97","9,813.07"
2/25/2018,"9,796.42","9,923.22","9,407.06","9,664.73"
2/26/2018,"9,669.43","10,475.00","9,501.73","10,366.70"
2/27/2018,"10,393.90","10,878.50","10,246.10","10,725.60"
2/28/2018,"10,687.20","11,089.80","10,393.10","10,397.90"
3/1/2018,"10,385.00","11,052.30","10,352.70","10,951.00"
3/2/2018,"10,977.40","11,189.00","10,850.10","11,086.40"
3/3/2018,"11,101.90","11,528.20","11,002.40","11,489.70"
3/4/2018,"11,497.40","11,512.60","11,136.10","11,512.60"
3/5/2018,"11,532.40","11,704.10","11,443.90","11,573.30"
3/6/2018,"11,500.10","11,500.10","10,694.30","10,779.90"
3/7/2018,"10,803.90","10,929.50","9,692.12","9,965.57"
3/8/2018,"9,951.44","10,147.40","9,335.87","9,395.01"
3/9/2018,"9,414.69","9,466.35","8,513.03","9,337.55"
3/10/2018,"9,350.59","9,531.32","8,828.47","8,866.00"
3/11/2018,"8,852.78","9,711.89","8,607.12","9,578.63"
3/12/2018,"9,602.93","9,937.50","8,956.43","9,205.12"
3/13/2018,"9,173.04","9,470.38","8,958.19","9,194.85"
3/14/2018,"9,214.65","9,355.85","8,068.59","8,269.81"
3/15/2018,"8,290.76","8,428.35","7,783.05","8,300.86"
3/16/2018,"8,322.91","8,585.15","8,005.31","8,338.35"
3/17/2018,"8,321.91","8,346.53","7,812.82","7,916.88"
3/18/2018,"7,890.52","8,245.51","7,397.99","8,223.68"
3/19/2018,"8,344.12","8,675.87","8,182.40","8,630.65"
3/20/2018,"8,619.67","9,051.02","8,389.89","8,913.47"
3/21/2018,"8,937.48","9,177.37","8,846.33","8,929.28"
3/22/2018,"8,939.44","9,100.71","8,564.90","8,728.47"
3/23/2018,"8,736.25","8,879.62","8,360.62","8,879.62"
3/24/2018,"8,901.95","8,996.18","8,665.70","8,668.12"
3/25/2018,"8,612.81","8,682.01","8,449.10","8,495.78"
3/26/2018,"8,498.47","8,530.08","7,921.43","8,209.40"
3/27/2018,"8,200.00","8,232.78","7,797.28","7,833.04"
3/28/2018,"7,836.83","8,122.89","7,809.17","7,954.48"
3/29/2018,"7,979.07","7,994.33","7,081.38","7,165.70"
3/30/2018,"7,171.45","7,276.66","6,683.93","6,890.52"
3/31/2018,"6,892.48","7,207.85","6,863.52","6,973.53"
4/1/2018,"7,003.06","7,060.95","6,526.87","6,844.23"
4/2/2018,"6,844.86","7,135.47","6,816.58","7,083.80"
4/3/2018,"7,102.26","7,530.94","7,072.49","7,456.11"
4/4/2018,"7,456.41","7,469.88","6,803.88","6,853.84"
4/5/2018,"6,848.65","6,933.82","6,644.80","6,811.47"
4/6/2018,"6,815.96","6,857.49","6,575.00","6,636.32"
4/7/2018,"6,630.51","7,050.54","6,630.51","6,911.09"
4/8/2018,"6,919.98","7,111.56","6,919.98","7,023.52"
